sample,t_sec,pointer_x,pointer_y,frame_x,frame_y,frame_w,frame_h,client_x,client_y,client_w,client_h
49,4.079018,533,120,90,59,484,347,0,31,484,316
50,4.162161,538,121,90,59,484,347,0,31,484,316
51,4.245300,543,122,90,59,484,347,0,31,484,316
52,4.328448,548,123,90,59,484,347,0,31,484,316
53,4.411570,553,124,90,59,484,347,0,31,484,316
54,4.494738,558,125,90,59,484,347,0,31,484,316
55,4.577940,563,126,90,59,484,347,0,31,484,316
56,4.661114,568,127,90,59,484,347,0,31,484,316
57,4.744249,573,128,90,59,484,347,0,31,484,316
58,4.827392,578,129,90,59,484,347,0,31,484,316
59,4.910583,583,130,90,59,484,347,0,31,484,316
60,4.993718,588,131,90,59,484,347,0,31,484,316
61,5.076882,592,131,90,59,484,347,0,31,484,316
62,5.160041,597,132,90,59,484,347,0,31,484,316
63,5.243167,602,133,90,59,484,347,0,31,484,316
64,5.326305,607,134,90,59,484,347,0,31,484,316
65,5.409458,612,135,90,59,484,347,0,31,484,316
66,5.492598,617,136,90,59,484,347,0,31,484,316
67,5.575763,622,137,90,59,484,347,0,31,484,316
68,5.658881,627,138,90,59,484,347,0,31,484,316
69,5.742090,632,139,90,59,484,347,0,31,484,316
70,5.825269,637,140,90,59,484,347,0,31,484,316
71,5.908376,642,141,90,59,484,347,0,31,484,316
72,5.991597,647,142,90,59,484,347,0,31,484,316
73,6.074729,652,143,90,59,484,347,0,31,484,316
74,6.157891,657,144,90,59,484,347,0,31,484,316
75,6.241176,662,145,90,59,484,347,0,31,484,316
76,6.324428,667,146,90,59,484,347,0,31,484,316
77,6.407554,672,147,90,59,484,347,0,31,484,316
78,6.490687,677,148,90,59,484,347,0,31,484,316
79,6.573829,682,149,90,59,484,347,0,31,484,316
80,6.657017,687,150,90,59,484,347,0,31,484,316
81,6.740215,692,151,90,59,484,347,0,31,484,316
82,6.823388,697,152,90,59,484,347,0,31,484,316
83,6.906550,702,153,90,59,484,347,0,31,484,316
84,6.989673,707,154,90,59,484,347,0,31,484,316
85,7.072841,711,155,90,59,484,347,0,31,484,316
86,7.156029,716,156,90,59,484,347,0,31,484,316
87,7.239279,721,157,90,59,484,347,0,31,484,316
88,7.322545,726,158,90,59,484,347,0,31,484,316
89,7.405774,731,159,90,59,484,347,0,31,484,316
90,7.488990,736,160,90,59,484,347,0,31,484,316
91,7.572226,741,161,90,59,484,347,0,31,484,316
92,7.655480,746,162,90,59,484,347,0,31,484,316
93,7.738605,751,163,90,59,484,347,0,31,484,316
94,7.821698,756,164,90,59,484,347,0,31,484,316
95,7.904856,761,165,90,59,484,347,0,31,484,316
96,7.988000,766,166,90,59,484,347,0,31,484,316
97,8.071135,771,167,90,59,484,347,0,31,484,316
98,8.154299,776,168,90,59,484,347,0,31,484,316
99,8.237576,781,169,90,59,484,347,0,31,484,316
100,8.320733,786,170,90,59,484,347,0,31,484,316
101,8.403895,791,171,90,59,484,347,0,31,484,316
102,8.487026,796,172,90,59,484,347,0,31,484,316
103,8.570181,801,173,90,59,484,347,0,31,484,316
104,8.653376,806,174,90,59,484,347,0,31,484,316
105,8.736489,811,175,90,59,484,347,0,31,484,316
106,8.819602,816,176,90,59,484,347,0,31,484,316
107,8.902748,821,177,90,59,484,347,0,31,484,316
108,8.985887,826,178,90,59,484,347,0,31,484,316
109,9.069075,830,179,90,59,484,347,0,31,484,316
110,9.152215,835,180,90,59,484,347,0,31,484,316
111,9.235334,840,181,90,59,484,347,0,31,484,316
112,9.319532,845,182,90,59,484,347,0,31,484,316
113,9.402656,850,183,90,59,484,347,0,31,484,316
114,9.485754,855,184,90,59,484,347,0,31,484,316
115,9.568909,860,185,90,59,484,347,0,31,484,316
116,9.652059,865,186,90,59,484,347,0,31,484,316
117,9.735198,870,187,90,59,484,347,0,31,484,316
118,9.818444,875,188,90,59,484,347,0,31,484,316
119,9.901617,880,189,90,59,484,347,0,31,484,316
120,9.984725,885,190,90,59,484,347,0,31,484,316
121,10.067881,890,191,90,59,484,347,0,31,484,316
